SK_ID_CURR,TARGET
100002,1
100003,0
100004,0
100006,0
100007,1
100008,0
100009,0
100010,0
100011,0
100012,0
100014,0
100015,0
100016,1
100017,0
100018,0
100019,1
100020,1
100021,0
100022,0
100023,0
100024,1
100025,1
100026,1
100027,0
100029,0
100030,0
100031,1
100032,1
100033,0
100034,0
100035,0
100036,1
100037,0
100039,1
100040,0
100041,0
100043,0
100044,0
100045,0
100046,0
100047,1
100048,1
100049,0
100050,0
100051,1
100052,1
100053,1
100054,0
100055,0
100056,0
100058,0
100059,0
100060,0
100061,0
100062,0
100063,1
100064,1
100068,0
100069,1
100070,0
100071,0
100072,1
100073,0
100075,0
100076,1
100077,1
100078,0
100079,1
100080,0
100081,0
100082,0
100083,0
100084,0
100085,1
100086,1
100087,1
100088,0
100089,1
100093,0
100094,0
100095,0
100096,0
100097,0
100098,1
100099,0
100100,0
100101,0
100102,0
100103,0
100104,0
100105,0
100108,0
100110,1
100111,1
100112,1
100113,0
100114,1
100115,1
100116,1
100118,0
100119,1
100120,1
100121,1
100122,1
100123,0
100124,0
100125,0
100126,0
100127,0
100129,0
100130,1
100131,0
100132,0
100133,1
100134,0
100135,1
100136,0
100137,1
100138,0
100139,1
100140,0
100142,1
100143,0
100144,0
100145,0
100146,0
100147,0
100148,1
100149,1
100151,0
100152,0
100153,0
100154,0
100155,1
100156,0
100157,1
100158,0
100159,0
100160,1
100161,1
100162,1
100163,1
100164,0
100165,0
100166,1
100167,1
100173,0
100174,0
100175,0
100176,0
100177,1
100178,0
100179,0
100180,0
100181,1
100182,0
100183,0
100185,0
100186,0
100188,0
100189,1
100190,0
100191,0
100192,1
100193,0
100194,1
100195,0
100196,1
100197,1
100198,0
100199,1
100200,0
100201,0
100202,1
100203,0
100204,1
100205,1
100206,1
100207,0
100208,0
100209,0
100210,0
100211,1
100213,0
100214,0
100215,0
100216,0
100217,1
100218,0
100219,0
100220,0
100221,0
100224,0
100225,0
100226,0
100227,1
100228,1
100229,0
100230,1
100231,0
100233,0
100234,0
100235,1
100236,1
100237,1
100238,0
100239,1
100240,1
100242,0
100243,1
100244,1
100246,1
100247,1
100248,1
100249,0
100250,0
100251,0
100252,0
100254,0
100255,0
100257,0
100258,1
100259,1
100260,0
100261,0
100262,0
100263,1
100264,0
100265,1
100266,0
100267,0
100268,1
100269,1
100270,0
100272,1
100273,0
100274,0
100275,0
100276,1
100277,0
100279,1
100281,0
100282,0
100283,0
100284,0
100285,1
100286,0
100287,0
100288,1
100289,0
100290,1
100291,1
100292,1
100293,0
100294,0
100295,1
100296,0
100297,0
100298,0
100299,0
100300,1
100301,1
100302,1
100303,0
100304,0
100305,0
100307,1
100308,0
100309,0
100310,1
100313,0
100314,0
100315,0
100316,0
100317,0
100318,0
100319,0
100320,0
100321,1
100322,0
100323,0
100324,0
100325,0
100326,1
100327,1
100328,0
100329,0
100332,1
100333,1
100334,0
100335,0
100336,1
100337,0
100338,0
100339,0
100340,0
100341,1
100342,1
100343,0
100344,0
100345,1
100346,0
100347,0
100348,0
100349,0
100350,0
100351,0
100353,1
100354,1
100355,1
100356,0
100357,0
100359,0
100360,0
100361,0
100362,0
100363,0
100364,0
100365,0
100366,0
100368,0
100369,0
100370,0
100371,0
100372,0
100373,0
100374,0
100375,1
100376,1
100377,0
100378,0
100379,0
100380,0
100381,0
100383,1
100387,0
100388,0
100389,0
100390,0
100391,0
100392,1
100393,0
100394,0
100395,0
100396,1
100397,0
100398,1
100400,0
100401,0
100402,0
100403,1
100405,1
100406,0
100407,0
100408,1
100409,1
100410,0
100411,1
100412,0
100413,0
100414,0
100415,0
100417,0
100418,0
100419,0
100420,0
100421,0
100423,0
100424,0
100425,0
100427,0
100428,0
100429,1
100430,1
100431,1
100432,0
100433,0
100434,0
100435,0
100436,0
100437,0
100439,1
100440,0
100441,0
100442,0
100443,0
100448,0
100449,0
100451,0
100452,1
100453,0
100454,0
100455,0
100456,1
100457,0
100458,0
100459,0
100460,0
100461,0
100462,0
100463,0
100464,1
100465,0
100467,1
100468,1
100469,0
100470,0
100471,0
100472,1
100473,0
100474,0
100475,0
100476,1
100477,1
100478,0
100479,0
100480,1
100481,0
100482,0
100485,0
100486,0
100487,1
100488,0
100489,1
100490,1
100491,1
100492,1
100493,0
100495,0
100496,0
100497,0
100498,1
100499,0
100500,0
100501,0
100502,0
100503,0
100504,1
100505,0
100506,1
100507,1
100508,0
100509,0
100511,1
100513,0
100514,0
100515,0
100516,0
100518,0
100519,1
100520,0
100521,1
100522,1
100523,0
100524,1
100525,1
100526,0
100527,0
100528,0
100529,0
100530,0
100531,0
100532,1
100533,0
100534,0
100535,0
100536,0
100537,0
100538,1
100539,0
100540,1
100541,1
100542,0
100543,0
100544,1
100545,0
100546,1
100547,1
100549,1
100550,0
100554,0
100555,1
100556,0
100557,0
100558,1
100559,0
100560,0
100562,0
100563,1
100564,1
100565,0
100566,0
100567,1
100570,0
100571,1
100572,0
100573,0
100574,0
100575,0
100576,0
100577,0
100578,1
100579,0
100580,0
100581,0
100582,0
100583,0
100584,1
100585,1
100586,0
100587,0
100588,0
100589,1
100590,0
100593,0
100594,0
100595,0
100596,1
100597,0
100598,0
100599,1
100600,1
100601,0
100603,1
100604,0
100605,0
100606,0
100608,1
100609,1
100610,0
100611,0
100612,0
100614,1
100615,0
100616,1
100619,0
100620,0
100621,0
100623,0
100624,1
100626,0
100627,0
100628,0
100629,0
100630,0
100631,0
100632,0
100633,1
100634,0
100635,1
100636,0
100637,0
100638,1
100639,0
100640,0
100641,1
100642,0
100643,0
100644,0
100645,0
100646,1
100647,0
100648,1
100649,1
100650,1
100651,0
100652,0
100653,1
100654,0
100655,0
100656,0
100657,0
100658,1
100659,0
100660,0
100661,0
100662,0
100663,1
100664,0
100665,1
100666,1
100667,0
100668,1
100669,0
100670,0
100671,0
100672,1
100673,0
100674,0
100675,0
100676,1
100678,0
100679,0
100680,0
100681,0
100682,1
100683,0
100684,0
100685,0
100686,0
100687,0
100688,1
100689,0
100690,1
100691,0
100692,0
100693,0
100694,0
100695,0
100696,1
100697,0
100698,0
100700,1
100701,0
100703,0
100704,0
100705,1
100706,0
100707,0
100708,1
100709,0
100710,0
100712,0
100713,0
100714,0
100715,1
100716,0
100717,1
100718,0
100719,0
100720,1
100721,0
100722,0
100723,0
100724,1
100725,0
100726,1
100727,0
100728,1
100730,0
100731,0
100732,0
100733,0
100734,0
100735,0
100736,0
100737,0
100738,1
100739,0
100741,1
100742,1
100743,0
100746,0
100748,0
100749,0
100750,0
100755,1
100756,0
100757,1
100758,1
100759,0
100761,0
100764,0
100766,0
100767,1
100768,0
100769,0
100771,0
100773,0
100774,1
100775,1
100776,0
100778,0
100779,0
100780,0
100781,0
100782,1
100783,1
100784,0
100785,0
100786,0
100787,0
100788,0
100789,0
100790,0
100793,0
100794,0
100795,1
100796,1
100798,1
100799,0
100800,0
100801,1
100802,1
100803,0
100804,1
100805,0
100806,0
100807,1
100808,1
100809,0
100810,0
100811,0
100812,0
100813,0
100814,0
100815,0
100816,0
100817,1
100818,1
100819,0
100820,0
100821,0
100822,1
100824,0
100825,1
100827,1
100828,1
100829,0
100831,0
100832,0
100833,1
100834,1
100835,1
100837,1
100838,1
100839,1
100840,1
100841,1
100842,0
100843,0
100844,1
100845,1
100846,1
100847,0
100848,0
100849,1
100850,1
100851,0
100852,0
100853,1
100854,1
100855,0
100856,0
100857,0
100858,1
100859,0
100860,1
100861,0
100862,0
100863,0
100864,1
100865,0
100866,0
100867,0
100868,0
100869,1
100870,0
100871,1
100873,0
100874,0
100875,0
100876,0
100877,1
100878,0
100879,1
100880,0
100881,1
100882,0
100883,1
100884,1
100885,0
100886,0
100887,0
100888,0
100889,0
100890,0
100891,0
100892,0
100893,0
100894,0
100895,0
100896,0
100897,1
100898,0
100899,0
100900,0
100901,1
100902,0
100903,0
100904,0
100905,1
100906,0
100907,0
100908,0
100909,0
100911,0
100912,0
100914,0
100915,1
100916,0
100917,1
100919,0
100920,0
100921,1
100922,0
100923,1
100924,1
100925,0
100926,1
100927,0
100928,0
100929,0
100930,0
100932,0
100933,0
100934,0
100935,0
100936,1
100937,1
100938,0
100939,1
100940,0
100941,1
100942,0
100943,0
100944,1
100945,0
100946,1
100947,1
100948,0
100949,0
100950,0
100951,1
100954,0
100955,0
100956,0
100957,0
100958,0
100959,0
100960,0
100961,0
100962,0
100963,0
100964,0
100966,0
100967,0
100968,0
100969,0
100971,1
100972,1
100973,0
100974,0
100975,0
100976,1
100977,0
100978,0
100979,0
100980,0
100981,0
100985,0
100986,1
100988,0
100989,0
100990,1
100991,0
100992,1
100993,0
100994,0
100995,1
100996,1
100999,0
101000,1
101001,0
101003,0
101004,1
101006,0
101007,1
101009,0
101010,1
